gene,gene_effect,z_score,mean,stddev
NIBAN2,-0.1509536230119096,-0.7688728839239585,-0.01916989706910827,0.17139858707233943
LRATD1,-0.14406474941810538,-0.7688134451660072,-0.01428469826612592,0.16880564715404595
TNFSF13,-0.1016951723740783,-0.768771643474116,-0.02809765839367397,0.0957339082485062
FLT3LG,-0.2166387941273873,-0.7684006812443814,-0.10790933687181628,0.14150099018586215
SLC24A5,-0.006840357305920933,-0.7682848964335911,0.06840585679524266,0.09794050937413908
ANKZF1,-0.14711493402204237,-0.767991069919024,-0.06462597228076693,0.10740875118505346
CD274,0.0632975450455201,-0.7677532677085948,0.15279178573743207,0.11656640805842854
RSPH4A,-0.009807366514425903,-0.7675892592420411,0.11593549480707616,0.16381529549497256
FABP4,-0.04723985664886816,-0.7673022639672946,0.04507736210928543,0.12031401846885272
PCDHGA3,-0.04310516271188406,-0.7672497781303431,0.04215583613180496,0.1111254786563191
MYL1,0.016686268349060382,-0.7669368521396639,0.09415171552598639,0.10100629140561768
RAI1,-0.14213784694687148,-0.7668927314099873,-0.036580529423315515,0.1376428712911143
DVL1,-0.3341708101951991,-0.7667595038607112,-0.21720551619353726,0.15254495498618517
PAQR5,-0.07845960414412781,-0.7666500822140354,0.007681909628912563,0.11236092680544597
TNK2,-0.045155358576875096,-0.766589987519991,0.05826071136768489,0.1349040186125091
NRCAM,-0.06443104460473788,-0.7665661078532713,0.02128048335508674,0.11181231087799501
GOLGB1,-0.20346404463882403,-0.7661547608029694,-0.10031623804479815,0.13463051053278283
VPS18,-1.133474691500284,-0.7659237029193467,-0.8993972051965257,0.3056146263806216
NAA10,-1.8847208893519332,-0.7659068641797986,-1.443933444188903,0.5755105036629549
OR13A1,-0.1542770806475393,-0.7651377455694359,-0.06455314473702073,0.11726507603378479
PPEF2,-0.1472684286480324,-0.7651172024031074,-0.05048090446841937,0.12650025888271668
SLC31A1,-0.43814047401473655,-0.765104327440179,-0.2873310193109125,0.19710966112084286
HCFC1R1,-0.44007064071648416,-0.7649919188216686,-0.3145979481882439,0.1640183241693693
GPR50,0.03764097872859286,-0.7645730687455884,0.10420123315653305,0.08705545244634835
MVP,-0.08689004680657325,-0.7645157856899255,0.00972487385161743,0.12637400360674308
KRTAP13-2,-0.16040886267218174,-0.7637209544290934,-0.06011122036131387,0.13132760300631488
HOXB6,-0.21151330118423944,-0.7636711204704612,-0.1151407919362388,0.12619635162925916
SCARF2,-0.2855452713628196,-0.7635391329563423,-0.1177589842622857,0.21974811749449333
CNTN2,-0.145833837144545,-0.7635204686770714,-0.06293934748270878,0.10856878507195096
PROP1,-0.07482320911124005,-0.7634800341413448,0.021653107601219045,0.126363902653934
TYMS,-1.3101438680526536,-0.7633890411664339,-0.7767945824005886,0.6986598665827379
HOXB4,-0.1146434754176961,-0.7633724652163381,-0.022825955953342823,0.12027879396767656
CXCL8,-0.07516681467171302,-0.7631405911036946,0.03386380249222056,0.1428709446659726
PPP1R15B,-1.2405380671871151,-0.7630234585819564,-0.8728609942080647,0.48186863568043
AURKC,-0.0776808547790422,-0.7629462153852339,0.013210872510376684,0.11913254886981121
PLXNA1,-0.09844454909296128,-0.7629458139298065,0.010127522424247718,0.14230639913727605
FIGLA,-0.1789555729973469,-0.7627045468887859,-0.0856886265160436,0.12228450303824277
MED23,-0.48727412162351247,-0.7626017028644128,-0.1912814041807279,0.3881354006042795
TMEM123,-0.03853799932458285,-0.7624984059217692,0.07046415123959587,0.14295393894287317
ZC3HAV1L,-0.032782642185205074,-0.7624714646513734,0.07056193184296895,0.1355389399069859
MGAT5B,-0.06474485627632878,-0.7623184038903625,0.017001011140397482,0.10723323351443453
PID1,-0.0820879648963864,-0.7620411775886681,-0.0007323527555847301,0.1067601260055733
FERRY3,-0.04498513984173481,-0.7619564735791035,0.04805290303174772,0.12210414387118355
ZBTB34,-0.16749921863901213,-0.761365831228434,-0.06362985504570097,0.13642503949214793
PPARD,-0.1576661331303631,-0.7613499320113093,-0.03892743933052323,0.15595810652554978
UBE2M,-1.9931879777514179,-0.760976874631235,-1.5604373856161002,0.5686777174996627
RAB30,-0.0846305441498877,-0.7607678121459559,0.01261338635701726,0.12782340282326296
SEC24B,-0.09865977387876854,-0.7606428795990183,-0.005425232300198974,0.12257334431069573
TRDN,0.01933705914500597,-0.7605477053025116,0.10691443936789174,0.11515041017453526
MEX3C,-0.09295140839456693,-0.7604781712256757,0.013543802313506378,0.14003716968816232
TMEM42,-0.09371174666811191,-0.7604340918658752,-0.001984961698322851,0.12062424074743845
IFI27,0.042656827228494856,-0.7600844973317984,0.1310019035779678,0.11623059891314663
OR10A4,-0.44710092086532777,-0.7600790987588318,-0.30514057405389616,0.1867704914439105
TLR5,-0.06861654475914014,-0.7599621469281567,0.019497614613234175,0.115945458242283
GAPDH,-1.8172714626448365,-0.759628473334267,-1.4872702891905882,0.4344244391021327
SMAD7,-0.27152473907594143,-0.7594031573724495,-0.09428669536437646,0.23339123888398391
KPNB1,-2.835137777409362,-0.7593414695001133,-2.5114244582613563,0.42630796835198687
RHOXF2,-0.17744814987403318,-0.7590308934429968,-0.07228652669762174,0.13854722394683278
PNMA8A,-0.03547228302366418,-0.7585604819850774,0.050532832785087765,0.11337937824507428
GRP,-0.10786578804578796,-0.7584011309343724,-0.009354724604741871,0.12989308615570966
RNF14,-0.33391747590223886,-0.7582823551837228,-0.19791798637555263,0.1793520429388538
LHB,-0.09939357456214812,-0.7582808380317595,0.006017274331306449,0.139012940333644
MLLT3,-0.1390692942353926,-0.7580023879879829,-0.022200405416083657,0.15418010638399432
NEURL2,-0.0722989103872739,-0.7578417455495159,0.015293548679677553,0.11558146483925559
CACNB1,-0.3250904501842301,-0.7577094711493952,-0.22366153472658482,0.13386254140889162
ATG9A,-0.39227205484529837,-0.757586690984273,-0.2079894976053647,0.24324946495629404
RSF1,-0.0630798205625277,-0.7574764082811586,0.04495589048148177,0.1426258426835506
ALKBH8,-0.10269641068984804,-0.7567618552417921,0.007575340266222334,0.14571526060974305
DPAGT1,-2.2195947014777806,-0.7566547260772736,-1.7883130760658632,0.569984711055479
CCN4,0.03961293718689325,-0.7564680073294976,0.11364145291085351,0.0978607356909879
NKX6-3,-0.1283805788859669,-0.7563959010117156,-0.042700005569055836,0.11327477211643956
DHCR7,-0.18590072080584827,-0.7563883023214586,-0.09310799260085746,0.12267869283567355
PDCD6IP,-0.7066157202061298,-0.7562690983761607,-0.4574122152456713,0.329516974176971
OR6V1,-0.11007330033584592,-0.756076933336823,-0.029747844760804776,0.10623979126110587
BCLAF1,-1.0130320055226312,-0.7560732142273948,-0.7654955519126545,0.32739746489091753
MYO7A,-0.19187259806188287,-0.7555820402285243,-0.09658280946215231,0.1261144171331949
TCHP,-0.2023418320477221,-0.7555649731005378,-0.09359334415198098,0.1439300282138287
RNF208,-0.03395515258866125,-0.7553529018230801,0.04459554146398116,0.1039920464501514
PRPH,-0.19892216071668706,-0.7549459272590132,-0.1052803574812419,0.12403776198307477
LRRK1,-0.06839005878552196,-0.7546700327791622,0.03294764380660044,0.1342808090827911
RAB3D,-0.17506761085394207,-0.7545236395182933,-0.08848153318656106,0.11475595081773676
LHFPL2,-0.030712153391585256,-0.7540035808701829,0.06624794335991753,0.12859368206130103
ZNF532,-0.27749647267717176,-0.7538163996079691,-0.17222728978225396,0.13964830554185906
FBH1,-0.07111504798821984,-0.7536381829293947,0.019298670289165532,0.11996966226677486
LTB,-0.045018957854249794,-0.7533987553485209,0.025303531247249832,0.09334033087029535
ESAM,0.03636157730223981,-0.7533076473666238,0.13216979582633234,0.12718338763586728
CDC5L,-2.1786233491930243,-0.7530904866423694,-1.8735643960275477,0.4050760945415371
LENG1,-0.5939649167442664,-0.7528541935344223,-0.4336413246661355,0.21295437211481852
SMG9,-0.23380175461060004,-0.752685287540491,-0.12056458454933863,0.1504442453382879
HAND1,-0.11142325861885259,-0.7524842445094838,-0.012955857198599869,0.13085642940529593
GAL,-0.2402862877105605,-0.7523362897215391,-0.14151421611036175,0.13128712910652904
STAC2,-0.23564349001789886,-0.7522782865005416,-0.0921018478794762,0.1908092320544723
CXCL13,-0.048507174943662926,-0.7520434137201926,0.06825851787027769,0.15526456409787107
MRPS15,-0.45775958395628497,-0.7517189739540909,-0.295095794233519,0.21638909666885725
POLR3F,-1.4077573056056054,-0.7513002500465326,-1.1951264208526506,0.283017188853305
GTF3C1,-0.9534000098405129,-0.7509022027070135,-0.7528687441502893,0.2670537720721892
FBXO31,-0.10118439163866787,-0.7505172916475352,-0.0019372901648256114,0.13223826096794528
DCDC2,-0.125490307996448,-0.7503970568486795,-0.047714511347895165,0.10364619095812448
CLEC11A,-0.053880559842802524,-0.7500297098309356,0.05531928926159544,0.14559403137378749
VILL,-0.1064281700864664,-0.7498187363701858,-0.013806964344198168,0.12352479505999048
MIB2,-0.22747537366379111,-0.7496283002949164,-0.12828094572552318,0.13232481737848367
TMEM115,-0.14345913084559367,-0.7494453512867566,-0.057554983358597725,0.11462363111533513
PROSER1,-0.07256941567110746,-0.7493592478935219,0.013810188309194827,0.11527128573260251
DHRS1,-0.2197790256655341,-0.7490464655802094,-0.12454691894131097,0.12713778263469488
TRARG1,-0.037972200153664794,-0.7489733403066653,0.058200661193856425,0.12840625449784832
VLDLR,-0.002073795250038965,-0.7487796858409141,0.07828314708571367,0.1073172040524952
AKNAD1,-0.13453536165754804,-0.7486357021954301,-0.04451082202553401,0.12025146458819735
EVC2,0.0770179015379657,-0.7485360155762557,0.1387049011995704,0.08241019587296058
FBXO39,-0.03600359401855857,-0.7484765021793743,0.03917000935787384,0.10043548883304404
MOBP,-0.06696578861755713,-0.7484669251286261,0.005409414482614748,0.0966979310244524
PLA2G12A,-0.2527942662505725,-0.7483728834099592,-0.14593147291520353,0.14279351337323837
SLC22A16,-0.0017247807656398662,-0.7481397257576249,0.07084055038603922,0.09699435633924364
MTHFR,-0.04753104539062499,-0.7476320295583285,0.04416293529973585,0.12264586998035654
OGA,-0.3873150400522333,-0.7474339729108571,-0.23433970121061032,0.2046673611126686
LRRC10B,-0.24425010093208016,-0.7470013403994805,-0.14080794171787098,0.1384765376175771
PTPN12,-0.09170033443763317,-0.7470005693025272,0.04599411407352965,0.18432977720449106
BLOC1S3,-0.29188506751132426,-0.7467174804102592,-0.1749283448417472,0.15662780869321427
ERVFRD-1,-0.0714902294713096,-0.745931194970775,0.012825045893891149,0.11303358263291853
FNTB,-1.23835338753578,-0.7459251391120518,-0.9533693569442693,0.3820544658553206
H2BC4,-1.4755925594855295,-0.7457300180824054,-1.2360083868536023,0.32127467960590056
CHGB,-0.13291540009669925,-0.7456600848293367,-0.02318553352324407,0.14715802656725238
CCN5,-0.1384131192801253,-0.7454127623664264,-0.0454303334276228,0.12473999714911573
RPL31,-3.04016837978003,-0.7451748473186025,-2.724720721839591,0.42332032418368565
HSPG2,-0.11535913172283449,-0.7446687035912936,-0.0499741664102203,0.08780409999410999
SHC4,-0.15758911259459452,-0.7445884314067414,-0.07294598631614232,0.11367773485083164
TFAP4,-0.5533323214205504,-0.7444483732323912,-0.356577525314854,0.26429609248978286
PLK4,-1.275275170566511,-0.7440240492964446,-1.003207198962945,0.36567093746611534
TARS2,-1.0205994084196839,-0.7438951057832649,-0.7554210304321958,0.3564728090370691
FRYL,-0.024070697158278642,-0.7436178989294973,0.11290959134425224,0.18420789588271871
TSKS,-0.10367834208523295,-0.7435672442304573,-0.01136013387686416,0.12415582978498738
CILP2,-0.2370099438203293,-0.7434215640217414,-0.1264709097143953,0.1486895719138721
EFCAB12,-0.11535660779224435,-0.743369527575126,-0.03284142303604898,0.11100157014151521
CAPZA1,-0.13404240707779316,-0.7432655570898425,-0.023978131583223587,0.14808203399806605
MPHOSPH6,-0.3860589969134077,-0.7431549664818459,-0.2289663555756022,0.2113861151752702
UNC5A,0.0001489654352138936,-0.7429720215487321,0.08104940349346187,0.10888759699135139
PRAMEF12,-0.24226349548851556,-0.7427365186979041,-0.13294119177511843,0.1471885398944039
ALDOA,-1.8228230763470628,-0.7426072365390474,-1.4524585484349386,0.4987354144813129
MRPL39,-0.9056584638482417,-0.7423638442039063,-0.6536647130314825,0.3394477691555565
LRRC43,-0.22110094137793107,-0.7421434777604518,-0.09344309855730622,0.1720123488868417
ABHD17B,-0.0288527401862846,-0.7419304270479621,0.06788474768979495,0.13038619842157512
PRKACG,-0.30528298201912996,-0.7419058400716206,-0.2016027619041293,0.13974848897939904
RASA2,-0.11557310057857459,-0.7416514204292722,0.021905874162422657,0.18536872033687146
TUB,-0.18275463635246905,-0.7415297132438803,-0.07218397842761318,0.14911156754751714
MRPL35,-0.853014344460493,-0.7413567356498173,-0.6635438468923618,0.2555726392666489
CCT7,-1.025595863928412,-0.7410201461815772,-0.8466470409878247,0.2414898216501906
GK2,-0.06390213886245837,-0.740715462951352,0.01509093155991907,0.10664428430808318
FBXO21,-0.15436971720553622,-0.7402539945972635,-0.06690760528459708,0.11815148929864683
DPP3,-0.16054173620535184,-0.739989850743688,-0.07828666821381418,0.11115702182789604
